N,count,N-gram
2,2,"['fstat', 'read']"
2,2,"['socket', 'htons']"
2,2,"['rt_sigaction', 'rt_sigprocmask']"
2,2,"['openat', 'fstat']"
2,2,"['brk', 'openat']"
2,2,"['getdents64', 'close']"
2,2,"['write', 'close']"
2,2,"['clock_nanosleep', 'clock_nanosleep']"
2,2,"['getdents64', 'getdents64']"
2,2,"['brk', 'getdents64']"
2,2,"['setsockopt', 'setsockopt']"
2,2,"['check_procs', 'detect_versions']"
2,2,"['unshare', 'unshare']"
2,2,"['close', 'syslog']"
2,2,"['syslog', 'mmap']"
2,2,"['openat', 'read']"
2,2,"['read', 'fstat']"
2,2,"['read', 'close']"
2,2,"['close', 'uname']"
2,2,"['brk', 'brk']"
2,2,"['mmap', 'syslog']"
2,2,"['clone', 'write']"
2,2,"['htons', 'socket']"
2,2,"['uname', 'brk']"
2,2,"['fstat', 'brk']"
3,2,"['brk', 'getdents64', 'getdents64']"
3,2,"['fstat', 'brk', 'brk']"
3,2,"['getdents64', 'getdents64', 'close']"
3,2,"['fstat', 'read', 'fstat']"
3,2,"['read', 'close', 'syslog']"
3,2,"['brk', 'brk', 'openat']"
3,2,"['socket', 'htons', 'socket']"
3,2,"['openat', 'fstat', 'brk']"
3,2,"['brk', 'openat', 'fstat']"
3,2,"['openat', 'fstat', 'read']"
3,2,"['syslog', 'mmap', 'syslog']"
3,2,"['uname', 'brk', 'brk']"
3,2,"['brk', 'brk', 'getdents64']"
3,2,"['clock_nanosleep', 'clock_nanosleep', 'clock_nanosleep']"
3,2,"['read', 'fstat', 'read']"
3,2,"['close', 'uname', 'brk']"
3,2,"['fstat', 'read', 'close']"
3,2,"['read', 'close', 'uname']"
3,2,"['close', 'syslog', 'mmap']"
3,2,"['htons', 'socket', 'htons']"
4,2,"['brk', 'brk', 'getdents64', 'getdents64']"
4,2,"['read', 'close', 'syslog', 'mmap']"
4,2,"['read', 'fstat', 'read', 'fstat']"
4,2,"['htons', 'socket', 'htons', 'socket']"
4,2,"['close', 'uname', 'brk', 'brk']"
4,2,"['brk', 'openat', 'fstat', 'read']"
4,2,"['brk', 'getdents64', 'getdents64', 'close']"
4,2,"['fstat', 'brk', 'brk', 'getdents64']"
4,2,"['fstat', 'read', 'close', 'uname']"
4,2,"['read', 'fstat', 'read', 'close']"
4,2,"['uname', 'brk', 'brk', 'openat']"
4,2,"['fstat', 'read', 'fstat', 'read']"
4,2,"['fstat', 'read', 'close', 'syslog']"
4,2,"['openat', 'fstat', 'brk', 'brk']"
4,2,"['close', 'syslog', 'mmap', 'syslog']"
4,2,"['socket', 'htons', 'socket', 'htons']"
4,2,"['openat', 'fstat', 'read', 'fstat']"
4,2,"['read', 'close', 'uname', 'brk']"
4,2,"['brk', 'brk', 'openat', 'fstat']"
5,2,"['fstat', 'brk', 'brk', 'getdents64', 'getdents64']"
5,2,"['fstat', 'read', 'fstat', 'read', 'fstat']"
5,2,"['socket', 'htons', 'socket', 'htons', 'socket']"
5,2,"['brk', 'openat', 'fstat', 'read', 'fstat']"
5,2,"['htons', 'socket', 'htons', 'socket', 'htons']"
5,2,"['openat', 'fstat', 'brk', 'brk', 'getdents64']"
5,2,"['fstat', 'read', 'close', 'syslog', 'mmap']"
5,2,"['brk', 'brk', 'openat', 'fstat', 'read']"
5,2,"['close', 'uname', 'brk', 'brk', 'openat']"
5,2,"['brk', 'brk', 'getdents64', 'getdents64', 'close']"
5,2,"['uname', 'brk', 'brk', 'openat', 'fstat']"
5,2,"['read', 'close', 'syslog', 'mmap', 'syslog']"
5,2,"['read', 'fstat', 'read', 'close', 'syslog']"
5,2,"['fstat', 'read', 'close', 'uname', 'brk']"
5,2,"['fstat', 'read', 'fstat', 'read', 'close']"
5,2,"['read', 'fstat', 'read', 'fstat', 'read']"
5,2,"['read', 'close', 'uname', 'brk', 'brk']"
5,2,"['read', 'fstat', 'read', 'close', 'uname']"
5,2,"['openat', 'fstat', 'read', 'fstat', 'read']"
6,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk']"
6,2,"['read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
6,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
6,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
6,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
6,2,"['fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
6,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
6,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
6,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk']"
6,2,"['openat', 'fstat', 'brk', 'brk', 'getdents64', 'getdents64']"
6,2,"['htons', 'socket', 'htons', 'socket', 'htons', 'socket']"
6,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat']"
6,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
6,2,"['fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
6,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname']"
6,2,"['fstat', 'brk', 'brk', 'getdents64', 'getdents64', 'close']"
6,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close']"
6,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
7,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
7,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
7,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
7,2,"['fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
7,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
7,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
7,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
7,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
7,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
7,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
7,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
7,2,"['read', 'fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
7,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
7,2,"['openat', 'fstat', 'brk', 'brk', 'getdents64', 'getdents64', 'close']"
7,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
7,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
7,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
8,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
8,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
8,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
8,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
8,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
8,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
8,2,"['fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
8,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
8,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
8,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
8,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
8,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
8,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
8,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
8,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
8,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
8,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
8,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
9,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
9,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
9,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
9,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
9,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
9,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
9,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
9,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
9,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
9,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
9,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
9,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
9,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
9,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
9,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
9,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
9,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
9,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
9,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
9,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
9,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
10,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
10,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
10,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
10,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
10,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
10,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
10,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
10,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
10,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
10,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
10,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
10,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
10,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
10,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
10,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
10,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
10,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
10,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
10,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
10,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
10,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
10,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
10,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
10,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
11,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
11,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
11,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
11,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
11,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
11,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
11,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
11,2,"['read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
11,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
11,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap', 'syslog']"
11,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
11,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
11,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
11,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
11,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read']"
11,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
11,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
11,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
11,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
11,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
11,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
11,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
11,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
11,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
11,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
11,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
11,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
12,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close']"
12,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
12,2,"['close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
12,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat']"
12,2,"['fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat']"
12,2,"['fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat']"
12,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
12,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
12,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
12,2,"['uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog']"
12,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
12,2,"['openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
12,2,"['brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk']"
12,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname']"
12,2,"['read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
12,2,"['read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat', 'read']"
12,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk', 'brk', 'openat', 'fstat']"
12,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'uname', 'brk']"
12,2,"['brk', 'brk', 'openat', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat']"
12,2,"['read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'close', 'syslog', 'mmap']"
12,2,"['fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read', 'fstat', 'read']"
